Links,Address,Description,Price
https://www.rightmove.co.uk/properties/126413510#/?channel=RES_BUY,"Dyer's Buildings, Holborn, EC1N",2 bedroom apartment for sale,"£1,600,000"
https://www.rightmove.co.uk/properties/118961069#/?channel=RES_BUY,"The Gallery, 38 Ludgate Hill, London, EC4M",1 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/88249819#/?channel=RES_BUY,"Sugar Quay, 1 Water Lane, London, EC3R",1 bedroom apartment for sale,"£835,000"
https://www.rightmove.co.uk/properties/76407777#/?channel=RES_BUY,"10 Hosier Lane, London",Studio apartment for sale,"£479,500"
https://www.rightmove.co.uk/properties/87730390#/?channel=RES_BUY,"Barts Square, 56 West Smithfield, Smithfield Market, City Of London, EC1A",2 bedroom apartment for sale,"£1,685,000"
https://www.rightmove.co.uk/properties/67717200#/?channel=RES_BUY,"The Denizen , Barbican, London, EC1Y",2 bedroom flat for sale,"£999,900"
https://www.rightmove.co.uk/properties/72794632#/?channel=RES_BUY,"47 Bartholomew Cl, Barbican, London, EC1A",1 bedroom apartment for sale,"£900,000"
https://www.rightmove.co.uk/properties/69571818#/?channel=RES_BUY,"34.02 One Bishopsgate Plaza, 150 Bishopsgate, City of London, EC3A",3 bedroom flat for sale,"£3,820,000"
https://www.rightmove.co.uk/properties/118961033#/?channel=RES_BUY,"St Dunstans House, 133-137 Fetter Lane, London, EC4A",1 bedroom apartment for sale,"£1,100,000"
https://www.rightmove.co.uk/properties/125675594#/?channel=RES_BUY,"22.11, One Bishopsgate Plaza, 150 Bishopsgate, City of London, EC3A.",2 bedroom flat for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/74504332#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",2 bedroom apartment for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/74504326#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",1 bedroom apartment for sale,"£1,325,000"
https://www.rightmove.co.uk/properties/118960970#/?channel=RES_BUY,"St Dunstans House, 133-137 Fetter Lane, London, EC4A",2 bedroom apartment for sale,"£1,600,000"
https://www.rightmove.co.uk/properties/118961018#/?channel=RES_BUY,"St Dunstans House, 133-137 Fetter Lane, London, EC4A",1 bedroom apartment for sale,"£965,000"
